Time step,Total load requested [kW],Total load served [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
385,74.4,74.4,0,0,0,0,0,0,0,0,2976,100,
386,69.812,69.812,0,0,0,0,0,0,0,0,2976,100,
387,68.696,68.696,0,0,0,0,0,0,0,0,2976,100,
388,68.2,68.2,0,0,0,0,0,0,0,0,0,0,
389,75.392,75.392,0,0,0,0,0,0,0,0,0,0,
390,102.424,102.424,0,0,0,0,0,0,0,0,0,0,
391,141.112,141.112,0,0,0,0,0,0,0,0,0,0,
392,129.332,129.332,0,0,0,0,0,0,0,0,0,0,
393,102.424,102.424,0,0,0,0,0,0,0,0,0,0,
394,101.308,101.308,0,0,0,0,0,0,0,0,0,0,
395,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
396,97.092,97.092,0,0,0,0,0,0,0,0,0,0,
397,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
398,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
399,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
400,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
401,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
402,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
403,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
404,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
