Time step,Grid total load,Grid net load,s1 total load,
765,198.4,607.6,607.6,
766,161.076,570.276,570.276,
767,123.628,462.344,462.344,
768,85.312,85.312,85.312,
769,70.928,70.928,70.928,
770,65.224,65.224,65.224,
771,64.728,64.728,64.728,
772,63.984,63.984,63.984,
773,71.3,71.3,71.3,
774,97.836,97.836,97.836,
775,134.54,134.54,134.54,
776,122.884,122.884,122.884,
777,101.308,101.308,101.308,
778,102.3,102.3,102.3,
779,103.664,103.664,103.664,
780,99.82,99.82,99.82,
781,98.704,98.704,98.704,
782,96.968,96.968,96.968,
783,100.812,100.812,100.812,
784,114.328,114.328,114.328,
785,147.436,147.436,147.436,
786,189.72,189.72,189.72,
787,217.62,217.62,217.62,
788,220.224,629.424,629.424,
789,202.864,612.064,612.064,
790,164.672,573.872,573.872,
791,125.612,464.328,464.328,
792,85.312,85.312,85.312,
793,70.928,70.928,70.928,
794,64.976,64.976,64.976,
795,64.232,64.232,64.232,
796,64.232,64.232,64.232,
797,71.796,71.796,71.796,
798,98.456,98.456,98.456,
799,135.284,135.284,135.284,
800,123.628,123.628,123.628,
801,101.68,101.68,101.68,
802,102.3,102.3,102.3,
803,103.664,103.664,103.664,
804,99.82,99.82,99.82,
805,98.704,98.704,98.704,
806,96.968,96.968,96.968,
807,100.812,100.812,100.812,
808,114.328,114.328,114.328,
809,147.436,147.436,147.436,
810,189.72,189.72,189.72,
811,217.62,217.62,217.62,
812,220.224,629.424,629.424,
813,202.864,612.064,612.064,
814,164.672,573.872,573.872,
815,125.612,464.328,464.328,
816,84.444,84.444,84.444,
817,70.432,70.432,70.432,
818,64.604,64.604,64.604,
819,62.744,62.744,62.744,
820,62.372,62.372,62.372,
821,69.564,69.564,69.564,
822,96.224,96.224,96.224,
823,131.688,131.688,131.688,
824,119.784,119.784,119.784,
825,96.844,96.844,96.844,
826,97.092,97.092,97.092,
827,97.092,97.092,97.092,
828,93.868,93.868,93.868,
829,93.372,93.372,93.372,
830,92.256,92.256,92.256,
831,95.852,95.852,95.852,
832,109.864,109.864,109.864,
833,142.972,142.972,142.972,
834,185.38,185.38,185.38,
835,213.28,213.28,213.28,
836,215.76,624.96,624.96,
837,198.4,607.6,607.6,
838,161.944,571.144,571.144,
839,126.232,464.948,464.948,
840,89.032,89.032,89.032,
841,76.26,76.26,76.26,
842,71.796,71.796,71.796,
843,71.052,71.052,71.052,
844,70.308,70.308,70.308,
845,77.004,77.004,77.004,
846,103.168,103.168,103.168,
847,137.888,137.888,137.888,
848,123.38,123.38,123.38,
849,99.572,99.572,99.572,
850,99.076,99.076,99.076,
851,97.092,97.092,97.092,
852,93.868,93.868,93.868,
853,93.372,93.372,93.372,
854,92.256,92.256,92.256,
855,95.852,95.852,95.852,
856,109.864,109.864,109.864,
857,142.972,142.972,142.972,
858,185.38,185.38,185.38,
859,213.28,213.28,213.28,
860,215.76,624.96,624.96,
861,198.4,607.6,607.6,
862,161.076,570.276,570.276,
863,124,462.716,462.716,
864,86.304,86.304,86.304,
865,74.028,74.028,74.028,
866,69.688,69.688,69.688,
867,68.82,68.82,68.82,
868,67.828,67.828,67.828,
869,74.524,74.524,74.524,
870,100.068,100.068,100.068,
871,135.036,135.036,135.036,
872,122.512,122.512,122.512,
873,99.82,99.82,99.82,
874,98.828,98.828,98.828,
875,97.092,97.092,97.092,
876,93.868,93.868,93.868,
877,93.372,93.372,93.372,
878,92.256,92.256,92.256,
879,96.1,96.1,96.1,
880,110.608,110.608,110.608,
881,145.7,145.7,145.7,
882,186.62,186.62,186.62,
883,214.768,214.768,214.768,
884,218.24,627.44,627.44,
885,201.748,610.948,610.948,
886,165.54,574.74,574.74,
887,129.952,468.668,468.668,
888,93.248,93.248,93.248,
889,80.724,80.724,80.724,
890,76.012,76.012,76.012,
891,75.268,75.268,75.268,
892,74.4,74.4,74.4,
893,81.468,81.468,81.468,
894,108.128,108.128,108.128,
895,142.228,142.228,142.228,
896,127.1,127.1,127.1,
897,103.044,103.044,103.044,
898,102.672,102.672,102.672,
899,99.324,99.324,99.324,
900,93.992,93.992,93.992,
901,93.372,93.372,93.372,
902,92.256,92.256,92.256,
903,95.852,95.852,95.852,
904,109.864,109.864,109.864,
905,143.344,143.344,143.344,
906,185.38,185.38,185.38,
907,213.28,213.28,213.28,
908,215.884,625.084,625.084,
909,199.268,608.468,608.468,
910,163.06,572.26,572.26,
911,127.224,465.94,465.94,
912,89.9,89.9,89.9,
913,77.004,77.004,77.004,
914,72.292,72.292,72.292,
915,70.928,70.928,70.928,
916,70.06,70.06,70.06,
917,76.632,76.632,76.632,
918,102.176,102.176,102.176,
919,136.772,136.772,136.772,
920,124.496,124.496,124.496,
921,102.672,102.672,102.672,
922,104.78,104.78,104.78,
923,104.16,104.16,104.16,
